mandt,matnr,spras,maktx,maktg,operation_flag,is_deleted,recordstamp
200,SP MATERIALS,E,Special chocolate fondant,MATERIALS,I,False,2021-03-31 02:48:36+00:00
200,SP MATERIALS,E,Special chocolate fondant,MATERIALS,I,False,2021-03-31 02:48:36+00:00
200,MATERIALS,E,Toilet Paper Unicorn Print,MATERIALS,I,False,2021-03-31 02:48:36+00:00
200,MATERIALS,E,Toilet Paper Unicorn Print,MATERIALS,I,False,2021-03-31 02:48:36+00:00
200,SECTION 1,E,Paella cooking,SECTION 1,I,False,2021-03-31 02:48:36+00:00
200,SECTION 1,E,Paella cooking,SECTION 1,I,False,2021-03-31 02:48:36+00:00
200,SECTION 2,E,Seafood clean service,SECTION 2,I,False,2021-03-31 02:48:36+00:00
200,SECTION 2,E,Seafood clean service,SECTION 2,I,False,2021-03-31 02:48:36+00:00
200,SECTION 3,E,Fisher,SECTION 3,I,False,2021-03-31 02:48:36+00:00
200,SECTION 3,E,Fisher,SECTION 3,I,False,2021-03-31 02:48:36+00:00
200,M-02,E,Strawberry cake,SUNNY XA1,I,False,2021-03-31 02:48:36+00:00
200,M-02,E,Strawberry cake,SUNNY XA1,I,False,2021-03-31 02:48:36+00:00
200,EXP020,E,Delivery,TRANSPORT,I,False,2021-03-31 02:48:36+00:00
200,EXP020,E,Delivery,TRANSPORT,I,False,2021-03-31 02:48:36+00:00
200,TRANSPORT,E,Transport,TRANSPORT,I,False,2021-03-31 02:48:36+00:00
200,TRANSPORT,E,Transport,TRANSPORT,I,False,2021-03-31 02:48:36+00:00
200,HT-1141,E,Flan dessert,CONTROLLER,I,False,2021-03-31 02:48:36+00:00
200,HT-1141,E,Flan dessert,CONTROLLER,I,False,2021-03-31 02:48:36+00:00
200,LABOR,E,Installation,LABOR WORK,I,False,2021-03-31 02:48:36+00:00
200,LABOR,E,Installation,LABOR WORK,I,False,2021-03-31 02:48:36+00:00
200,SP_XLT0003,E,SDRAM 6 GB,SDRAM 6 GB,I,False,2021-03-31 02:48:36+00:00
200,SP_XLT0003,E,SDRAM 6 GB,SDRAM 6 GB,I,False,2021-03-31 02:48:36+00:00
200,HT-1147,E,Bathroom cleaner,SERVER ECO,I,False,2021-03-31 02:48:36+00:00
200,HT-1147,E,Bathroom cleaner,SERVER ECO,I,False,2021-03-31 02:48:36+00:00
200,TRAVEL_EXP,E,Travel Luggage,TRAVEL_EXP,I,False,2021-03-31 02:48:36+00:00
200,TRAVEL_EXP,E,Travel Luggage,TRAVEL_EXP,I,False,2021-03-31 02:48:36+00:00
200,S-1312,E,Ice Cream Mix,OTHER COSTS,I,False,2021-03-31 02:48:36+00:00
200,S-1312,E,Ice Cream Mix,OTHER COSTS,I,False,2021-03-31 02:48:36+00:00
200,SM-REPHOUR,E,Repair Hour,REPAIR HOUR,I,False,2021-03-31 02:48:36+00:00
200,SM-REPHOUR,E,Repair Hour,REPAIR HOUR,I,False,2021-03-31 02:48:36+00:00
200,HT-1061,E,Cookie dough - Vanilla,SPEED MOUSE,I,False,2021-03-31 02:48:36+00:00
200,HT-1061,E,Cookie dough - Vanilla,SPEED MOUSE,I,False,2021-03-31 02:48:36+00:00
200,SP_XLT0008,E,Cream,UPS 1400 VA,I,False,2021-03-31 02:48:36+00:00
200,SP_XLT0008,E,Cream,UPS 1400 VA,I,False,2021-03-31 02:48:36+00:00
200,GTS-30001,E,Ice Cream bucket,BALL BEARING,I,False,2021-03-31 02:48:36+00:00
200,GTS-30001,E,Ice Cream bucket,BALL BEARING,I,False,2021-03-31 02:48:36+00:00
200,GTS-30007,E,Fries,EXHAUST PIPE,I,False,2021-03-31 02:48:36+00:00
200,GTS-30007,E,Fries,EXHAUST PIPE,I,False,2021-03-31 02:48:36+00:00
200,AD_ROU,E,Fried fish,ROUTINE WORK,I,False,2021-03-31 02:48:36+00:00
200,AD_ROU,E,Fried fish,ROUTINE WORK,I,False,2021-03-31 02:48:36+00:00
200,HT-1140,E,Tile Cleaner,SERVER SPEED,I,False,2021-03-31 02:48:36+00:00
200,HT-1140,E,Tile Cleaner,SERVER SPEED,I,False,2021-03-31 02:48:36+00:00
200,HT-1148,E,Washer cleaner,SERVER VALUE,I,False,2021-03-31 02:48:36+00:00
200,HT-1148,E,Washer cleaner,SERVER VALUE,I,False,2021-03-31 02:48:36+00:00
200,SP_XLT0004,E,Poutine,CACHE 2 MB L2,I,False,2021-03-31 02:48:36+00:00
200,SP_XLT0004,E,Poutine,CACHE 2 MB L2,I,False,2021-03-31 02:48:36+00:00
200,SP1444,E,Baked potatoes,EC : ENGINEER,I,False,2021-03-31 02:48:36+00:00
200,SP1444,E,Baked potatoes,EC : ENGINEER,I,False,2021-03-31 02:48:36+00:00
200,LABOR II,E,A/C Installation,LABOR WORK II,I,False,2021-03-31 02:48:36+00:00
200,LABOR II,E,A/C Installation,LABOR WORK II,I,False,2021-03-31 02:48:36+00:00
200,AD_MOD,E,Modifications,MODIFICATIONS,I,False,2021-03-31 02:48:36+00:00
200,AD_MOD,E,Modifications,MODIFICATIONS,I,False,2021-03-31 02:48:36+00:00
200,HT-1111,E,Unicorn Sprinkles,NOTEBOOK LOCK,I,False,2021-03-31 02:48:36+00:00
200,HT-1111,E,Unicorn Sprinkles,NOTEBOOK LOCK,I,False,2021-03-31 02:48:36+00:00
200,SER_021_ERP,E,Cupcake,STANDARD 5X10,I,False,2021-03-31 02:48:36+00:00
200,SER_021_ERP,E,Cupcake,STANDARD 5X10,I,False,2021-03-31 02:48:36+00:00
200,M-03,E,Cookie cutter - Rabitt,SUNNY TETRAL3,I,False,2021-03-31 02:48:36+00:00
200,M-03,E,Cookie cutter - Rabitt,SUNNY TETRAL3,I,False,2021-03-31 02:48:36+00:00
200,TP-FG5554,E,Potatoe salad,TMS PRODUCT 1,I,False,2021-03-31 02:48:36+00:00
200,TP-FG5554,E,Potatoe salad,TMS PRODUCT 1,I,False,2021-03-31 02:48:36+00:00
200,TP-FG5555,E,Egg salad,TMS PRODUCT 2,I,False,2021-03-31 02:48:36+00:00
200,TP-FG5555,E,Egg salad,TMS PRODUCT 2,I,False,2021-03-31 02:48:36+00:00
200,HT-1142,E,Chocolate Cake,CHOCOLATE CAKE,I,False,2021-03-31 02:48:36+00:00
200,HT-1142,E,Chocolate Cake,CHOCOLATE CAKE,I,False,2021-03-31 02:48:36+00:00
200,COPY_OVER,E,Chicken Wings,COPY OVER ITEM,I,False,2021-03-31 02:48:36+00:00
200,COPY_OVER,E,Chicken Wings,COPY OVER ITEM,I,False,2021-03-31 02:48:36+00:00
200,S-1301,E,Material costs,MATERIAL COSTS,I,False,2021-03-31 02:48:36+00:00
200,S-1301,E,Material costs,MATERIAL COSTS,I,False,2021-03-31 02:48:36+00:00
200,HT-1106,E,Cookie cutter - bear,SMART FIREWALL,I,False,2021-03-31 02:48:36+00:00
200,HT-1106,E,Cookie cutter - bear,SMART FIREWALL,I,False,2021-03-31 02:48:36+00:00
200,SP3116,E,Organic Malbec,SP : DEVELOPER,I,False,2021-03-31 02:48:36+00:00
200,SP3116,E,Organic Malbec,SP : DEVELOPER,I,False,2021-03-31 02:48:36+00:00
200,M-01,E,Cookie cutter - Panda,SUNNY SUNNY 01,I,False,2021-03-31 02:48:36+00:00
200,M-01,E,Cookie cutter - Panda,SUNNY SUNNY 01,I,False,2021-03-31 02:48:36+00:00
200,HT-1091,E,Napkins,BLASTER EXTREME,I,False,2021-03-31 02:48:36+00:00
200,HT-1091,E,Napkins,BLASTER EXTREME,I,False,2021-03-31 02:48:36+00:00
200,R-1160,E,Vegan egg,"HARDDISK, 20 GB",I,False,2021-03-31 02:48:36+00:00
200,R-1160,E,Vegan egg,"HARDDISK, 20 GB",I,False,2021-03-31 02:48:36+00:00
200,HT-1114,E,Avocado container,LEATHER BAG PRO,I,False,2021-03-31 02:48:36+00:00
200,HT-1114,E,Avocado container,LEATHER BAG PRO,I,False,2021-03-31 02:48:36+00:00
200,HT-1010,E,Napkin Cloth,NOTEBOOK PRO 15,I,False,2021-03-31 02:48:36+00:00
200,HT-1010,E,Napkin Cloth,NOTEBOOK PRO 15,I,False,2021-03-31 02:48:36+00:00
200,HT-1011,E,Bleach,NOTEBOOK PRO 17,I,False,2021-03-31 02:48:36+00:00
200,HT-1011,E,Bleach,NOTEBOOK PRO 17,I,False,2021-03-31 02:48:36+00:00
200,GTS-30006,E,Hamburger,PLASTIC ROSETTE,I,False,2021-03-31 02:48:36+00:00
200,GTS-30006,E,Hamburger,PLASTIC ROSETTE,I,False,2021-03-31 02:48:36+00:00
200,AD_REP,E,Pizza,REPAIR SERVICES,I,False,2021-03-31 02:48:36+00:00
200,AD_REP,E,Pizza,REPAIR SERVICES,I,False,2021-03-31 02:48:36+00:00
200,IMC_9000,E,Batteries,ROBOT WORK CELL,I,False,2021-03-31 02:48:36+00:00
200,IMC_9000,E,Batteries,ROBOT WORK CELL,I,False,2021-03-31 02:48:36+00:00
200,GTS-30004,E,Textile Blanket,TEXTILE BLANKET,I,False,2021-03-31 02:48:36+00:00
200,GTS-30004,E,Textile Blanket,TEXTILE BLANKET,I,False,2021-03-31 02:48:36+00:00
200,SP_XLT0006,E,Cotton Candy,CD-ROM DRIVE 50X,I,False,2021-03-31 02:48:36+00:00
200,SP_XLT0006,E,Cotton Candy,CD-ROM DRIVE 50X,I,False,2021-03-31 02:48:36+00:00
200,HT-1012,E,Screen cleaner,CLEANTECH LAPTOP,I,False,2021-03-31 02:48:36+00:00
200,HT-1012,E,Screen cleaner,CLEANTECH LAPTOP,I,False,2021-03-31 02:48:36+00:00
200,1400-100,E,Deluxe Headlight,DELUXE HEADLIGHT,I,False,2021-03-31 02:48:36+00:00
200,1400-100,E,Deluxe Headlight,DELUXE HEADLIGHT,I,False,2021-03-31 02:48:36+00:00
200,SP EQUIP RENTAL,E,Peanut butter,EQUIPMENT RENTAL,I,False,2021-03-31 02:48:36+00:00
200,SP EQUIP RENTAL,E,Peanut butter,EQUIPMENT RENTAL,I,False,2021-03-31 02:48:36+00:00
200,M-111,E,Ice cream spoon,HANDLE BARS-BLUE,I,False,2021-03-31 02:48:36+00:00
200,M-111,E,Ice cream spoon,HANDLE BARS-BLUE,I,False,2021-03-31 02:48:36+00:00
200,SP3115,E,Biscotti,SERVICE DIRECTOR,I,False,2021-03-31 02:48:36+00:00
200,SP3115,E,Biscotti,SERVICE DIRECTOR,I,False,2021-03-31 02:48:36+00:00
200,R-1170,E,Creme brulee,SLIMLINE PC CASE,I,False,2021-03-31 02:48:36+00:00
200,R-1170,E,Creme brulee,SLIMLINE PC CASE,I,False,2021-03-31 02:48:36+00:00
200,SP SUBCONTRACTOR,E,SP Subcontractor,SP SUBCONTRACTOR,I,False,2021-03-31 02:48:36+00:00
200,SP SUBCONTRACTOR,E,SP Subcontractor,SP SUBCONTRACTOR,I,False,2021-03-31 02:48:36+00:00
200,R-1140,E,Ramen broth,"TFT MONITOR, 17""",I,False,2021-03-31 02:48:36+00:00
200,R-1140,E,Ramen broth,"TFT MONITOR, 17""",I,False,2021-03-31 02:48:36+00:00
200,EXTERNAL SERVICES,E,External Services,EXTERNAL SERVICES,I,False,2021-03-31 02:48:36+00:00
200,EXTERNAL SERVICES,E,External Services,EXTERNAL SERVICES,I,False,2021-03-31 02:48:36+00:00
200,S-1302,E,External services,EXTERNAL SERVICES,I,False,2021-03-31 02:48:36+00:00
200,S-1302,E,External services,EXTERNAL SERVICES,I,False,2021-03-31 02:48:36+00:00
200,EXP012,E,Deep cleaning service,EXTERNAL SERVICES,I,False,2021-03-31 02:48:36+00:00
200,EXP012,E,Deep cleaning service,EXTERNAL SERVICES,I,False,2021-03-31 02:48:36+00:00
200,M-444,E,Cream puffs,HANDLE BARS-GREEN,I,False,2021-03-31 02:48:36+00:00
200,M-444,E,Cream puffs,HANDLE BARS-GREEN,I,False,2021-03-31 02:48:36+00:00
200,S-1311,E,Internal services,INTERNAL SERVICES,I,False,2021-03-31 02:48:36+00:00
200,S-1311,E,Internal services,INTERNAL SERVICES,I,False,2021-03-31 02:48:36+00:00
200,HT-1064,E,Banana container,INTERNET KEYBOARD,I,False,2021-03-31 02:48:36+00:00
200,HT-1064,E,Banana container,INTERNET KEYBOARD,I,False,2021-03-31 02:48:36+00:00
200,M128_RO,E,Douch roller,M128 ROLLER SETUP,I,False,2021-03-31 02:48:36+00:00
200,M128_RO,E,Douch roller,M128 ROLLER SETUP,I,False,2021-03-31 02:48:36+00:00
200,R-1001,E,Tire air,MAXITEC R-3100 PC,I,False,2021-03-31 02:48:36+00:00
200,R-1001,E,Tire air,MAXITEC R-3100 PC,I,False,2021-03-31 02:48:36+00:00
200,MILESTONE BILLING,E,Pastry puff,MILESTONE BILLING,I,False,2021-03-31 02:48:36+00:00
200,MILESTONE BILLING,E,Pastry puff,MILESTONE BILLING,I,False,2021-03-31 02:48:36+00:00
200,HT-1000,E,Kitchen cleaner,NOTEBOOK BASIC 15,I,False,2021-03-31 02:48:36+00:00
200,HT-1000,E,Kitchen cleaner,NOTEBOOK BASIC 15,I,False,2021-03-31 02:48:36+00:00
200,HT-1001,E,Scrubby scrubby,NOTEBOOK BASIC 17,I,False,2021-03-31 02:48:36+00:00
200,HT-1001,E,Scrubby scrubby,NOTEBOOK BASIC 17,I,False,2021-03-31 02:48:36+00:00
200,GTS-30005,E,Soap dish - chrom,SOAP DISH - CHROM,I,False,2021-03-31 02:48:36+00:00
200,GTS-30005,E,Soap dish - chrom,SOAP DISH - CHROM,I,False,2021-03-31 02:48:36+00:00
200,SP3117,E,Painter,SP:FUNCTIONA LEAD,I,False,2021-03-31 02:48:36+00:00
200,SP3117,E,Painter,SP:FUNCTIONA LEAD,I,False,2021-03-31 02:48:36+00:00
200,SP3118,E,Wallpaper installation,SP:TECHNICAL LEAD,I,False,2021-03-31 02:48:36+00:00
200,SP3118,E,Wallpaper installation,SP:TECHNICAL LEAD,I,False,2021-03-31 02:48:36+00:00
200,IMC_9350,E,Bread maker,WORK TABLE MEDIUM,I,False,2021-03-31 02:48:36+00:00
200,IMC_9350,E,Bread maker,WORK TABLE MEDIUM,I,False,2021-03-31 02:48:36+00:00
200,IMC_9100,E,Bread starter,CONTROL CABINET C1,I,False,2021-03-31 02:48:36+00:00
200,IMC_9100,E,Bread starter,CONTROL CABINET C1,I,False,2021-03-31 02:48:36+00:00
200,MAT1,E,Crackers,GENERIC MATERIAL 1,I,False,2021-03-31 02:48:36+00:00
200,MAT1,E,Crackers,GENERIC MATERIAL 1,I,False,2021-03-31 02:48:36+00:00
200,MAT2,E,Wafers,GENERIC MATERIAL 2,I,False,2021-03-31 02:48:36+00:00
200,MAT2,E,Wafers,GENERIC MATERIAL 2,I,False,2021-03-31 02:48:36+00:00
200,R-1111,E,Mayonnaise,MOTHERBOARD M-3100,I,False,2021-03-31 02:48:36+00:00
200,R-1111,E,Mayonnaise,MOTHERBOARD M-3100,I,False,2021-03-31 02:48:36+00:00
200,PROJECT MGMT,E,Sandwich making,PROJECT MANAGEMENT,I,False,2021-03-31 02:48:36+00:00
200,PROJECT MGMT,E,Sandwich making,PROJECT MANAGEMENT,I,False,2021-03-31 02:48:36+00:00
200,T-F200,E,Barbecue tray,PUMP PRECISION 102,I,False,2021-03-31 02:48:36+00:00
200,T-F200,E,Barbecue tray,PUMP PRECISION 102,I,False,2021-03-31 02:48:36+00:00
200,T-F301,E,Barbecue grill,PUMP PRECISION 103,I,False,2021-03-31 02:48:36+00:00
200,T-F301,E,Barbecue grill,PUMP PRECISION 103,I,False,2021-03-31 02:48:36+00:00
200,SP3101,E,Grill expert,SP: CLIENT MANAGER,I,False,2021-03-31 02:48:36+00:00
200,SP3101,E,Grill expert,SP: CLIENT MANAGER,I,False,2021-03-31 02:48:36+00:00
200,SD-1000,E,Chocolate ice cream,WIRELESS KEY BOARD,I,False,2021-03-31 02:48:36+00:00
200,SD-1000,E,Chocolate ice cream,WIRELESS KEY BOARD,I,False,2021-03-31 02:48:36+00:00
200,SP1431,E,Grill chopper,EC: PROJECT MANAGER,I,False,2021-03-31 02:48:36+00:00
200,SP1431,E,Grill chopper,EC: PROJECT MANAGER,I,False,2021-03-31 02:48:36+00:00
200,SP1443,E,Strawberry pick,EC: SENIOR ENGINEER,I,False,2021-03-31 02:48:36+00:00
200,SP1443,E,Strawberry pick,EC: SENIOR ENGINEER,I,False,2021-03-31 02:48:36+00:00
200,SP3102,E,Cherry pick,SP: PROJECT MANAGER,I,False,2021-03-31 02:48:36+00:00
200,SP3102,E,Cherry pick,SP: PROJECT MANAGER,I,False,2021-03-31 02:48:36+00:00
200,T-ASB06,E,Decaf,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB06,E,Decaf,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB09,E,Earl Grey,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB09,E,Earl Grey,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB14,E,Sweetener,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB14,E,Sweetener,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB03,E,Tea sugar,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB03,E,Tea sugar,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB07,E,Oolong tea,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB07,E,Oolong tea,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB13,E,Tea leaves,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB13,E,Tea leaves,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB17,E,Tea matcha,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB17,E,Tea matcha,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB18,E,Jasmine tea,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB18,E,Jasmine tea,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB08,E,Sugar cubes,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB08,E,Sugar cubes,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB10,E,Coffee blend,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB10,E,Coffee blend,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB12,E,Coffee grains,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB12,E,Coffee grains,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB11,E,Coffee ground,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB11,E,Coffee ground,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB05,E,Coffee creamer,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB05,E,Coffee creamer,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB19,E,Chocolate creamer,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB19,E,Chocolate creamer,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB16,E,Digestive cookies,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB16,E,Digestive cookies,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB01,E,Hot chocolate poweder,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB01,E,Hot chocolate poweder,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB02,E,Coffee syrup  - Almond,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB02,E,Coffee syrup  - Almond,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB15,E,Coffee syrup - Hazelnut,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB15,E,Coffee syrup - Hazelnut,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB04,E,White chocolate poweder,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB04,E,White chocolate poweder,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB20,E,Coffee syrup - Christmas,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,T-ASB20,E,Coffee syrup - Christmas,Selfie stick LE 64P,I,False,2021-03-31 02:48:36+00:00
200,SP PARTNER,E,Apple pick,CONSULTING - PARTNER,I,False,2021-03-31 02:48:36+00:00
200,SP PARTNER,E,Apple pick,CONSULTING - PARTNER,I,False,2021-03-31 02:48:36+00:00
200,SP1434,E,Apple pie,EC: SENIOR ARCHITECT,I,False,2021-03-31 02:48:36+00:00
200,SP1434,E,Apple pie,EC: SENIOR ARCHITECT,I,False,2021-03-31 02:48:36+00:00
200,M128_FB,E,Butter cookies,M128 FORMATTER BOARD,I,False,2021-03-31 02:48:36+00:00
200,M128_FB,E,Butter cookies,M128 FORMATTER BOARD,I,False,2021-03-31 02:48:36+00:00
200,SP TRAVEL EXP,E,Blueberry pie,SP - TRAVEL EXPENSES,I,False,2021-03-31 02:48:36+00:00
200,SP TRAVEL EXP,E,Blueberry pie,SP - TRAVEL EXPENSES,I,False,2021-03-31 02:48:36+00:00
200,SP3103,E,Peach pie,SP: JUNIOR CONSULTAN,I,False,2021-03-31 02:48:36+00:00
200,SP3103,E,Peach pie,SP: JUNIOR CONSULTAN,I,False,2021-03-31 02:48:36+00:00
200,SP3104,E,Fruit salad,SP: SENIOR CONSULTAN,I,False,2021-03-31 02:48:36+00:00
200,SP3104,E,Fruit salad,SP: SENIOR CONSULTAN,I,False,2021-03-31 02:48:36+00:00
200,SD-1030,E,Fruit tray,STREAMLINED KEYBOARD,I,False,2021-03-31 02:48:36+00:00
200,SD-1030,E,Fruit tray,STREAMLINED KEYBOARD,I,False,2021-03-31 02:48:36+00:00
200,CART_RPL,E,Hand sanitizer,CARTRIDGE REPLACEMENT,I,False,2021-03-31 02:48:36+00:00
200,CART_RPL,E,Hand sanitizer,CARTRIDGE REPLACEMENT,I,False,2021-03-31 02:48:36+00:00
200,DE_SPARE_VS2,E,Hand sanitizer,VAN STOCK - SPARE - 2,I,False,2021-03-31 02:48:36+00:00
200,DE_SPARE_VS2,E,Hand sanitizer,VAN STOCK - SPARE - 2,I,False,2021-03-31 02:48:36+00:00
200,DE_SPARE_VS5,E,Hand sanitizer,VAN STOCK - SPARE - 5,I,False,2021-03-31 02:48:36+00:00
200,DE_SPARE_VS5,E,Hand sanitizer,VAN STOCK - SPARE - 5,I,False,2021-03-31 02:48:36+00:00
200,DE_SPARE1,E,Alcohol 70%,128 GB HARD DISK DRIVE,I,False,2021-03-31 02:48:36+00:00
200,DE_SPARE1,E,Alcohol 70%,128 GB HARD DISK DRIVE,I,False,2021-03-31 02:48:36+00:00
200,DE_SPARE,E,Rubbing alcohol,160 GB HARD DISK DRIVE,I,False,2021-03-31 02:48:36+00:00
200,DE_SPARE,E,Rubbing alcohol,160 GB HARD DISK DRIVE,I,False,2021-03-31 02:48:36+00:00
200,HT-0001,E,Chocolate pound cake,160 GB HARD DISK DRIVE,I,False,2021-03-31 02:48:36+00:00
200,HT-0001,E,Chocolate pound cake,160 GB HARD DISK DRIVE,I,False,2021-03-31 02:48:36+00:00
200,CE_EXC_CLAMP,E,Hand sanitizer Gel,EXCAVATOR CLAMPING JAW,I,False,2021-03-31 02:48:36+00:00
200,CE_EXC_CLAMP,E,Hand sanitizer Gel,EXCAVATOR CLAMPING JAW,I,False,2021-03-31 02:48:36+00:00
200,T-ASA11,E,Corn,Selfie stick MS 1460 P,I,False,2021-03-31 02:48:36+00:00
200,T-ASA11,E,Corn,Selfie stick MS 1460 P,I,False,2021-03-31 02:48:36+00:00
200,T-ASA16,E,Kiwi,Selfie stick MS 1460 P,I,False,2021-03-31 02:48:36+00:00
200,T-ASA16,E,Kiwi,Selfie stick MS 1460 P,I,False,2021-03-31 02:48:36+00:00
200,T-ASA12,E,Pear,Selfie stick MS 1460 P,I,False,2021-03-31 02:48:36+00:00
200,T-ASA12,E,Pear,Selfie stick MS 1460 P,I,False,2021-03-31 02:48:36+00:00
200,T-ASA14,E,Apple,Selfie stick MS 1460 P,I,False,2021-03-31 02:48:36+00:00
200,T-ASA14,E,Apple,Selfie stick MS 1460 P,I,False,2021-03-31 02:48:36+00:00
200,T-ASA04,E,Melon,Selfie stick MS 1460 P,I,False,2021-03-31 02:48:36+00:00
200,T-ASA04,E,Melon,Selfie stick MS 1460 P,I,False,2021-03-31 02:48:36+00:00
200,T-ASA20,E,Onion,Selfie stick MS 1460 P,I,False,2021-03-31 02:48:36+00:00
